name;location;accommodation_type;url;full_full_location_address;year_of_construction;house_material_type;finish_type;ceiling_height;class;parking_type;floors_from;floors_to;builder
ЖК «Дома на Культуре»;Нижний Новгород;newobject;https://zhk-doma-na-kulture-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Сормовский, Кооперативный поселок, ул. Коперника;2023—2025;Монолитно-кирпичный, монолитный;Чистовая;2,5 м;Комфорт;Гостевая;18;18;Застройщик Девелопер Столица Нижний
ЖК «Дельвиг»;Нижний Новгород;newobject;https://zhk-delvig-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, ул. Сеченова;2025;Монолитно-кирпичный;Без отделки;—;Бизнес;Подземная;8;17;Застройщик Девелопер Столица Нижний
ЖК «Парус»;Нижний Новгород;newobject;https://zhk-parus-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, Большая Печерская ул.;2023;Монолитно-кирпичный;Без отделки, черновая;—;Комфорт;Подземная;25;25;Застройщик СЗ Добрострой
ЖК «Корица»;Нижний Новгород;newobject;https://zhk-korica-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, ул. Александра Хохлова;2023—2024;Монолитный;Без отделки, чистовая;—;Комфорт;Гостевая;10;19;Застройщик ННДК
ЖК «Приоритет»;Нижний Новгород;newobject;https://zhk-prioritet-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, Центр, Грузинская ул.;2026;Монолитно-кирпичный;Без отделки, черновая;3,0 м;Премиум;Подземная, гостевая;4;6;Застройщик СЗ Андор
ЖК «Облака»;Нижний Новгород;newobject;https://zhk-oblaka-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, Печерская долина, ул. Родионова;2019—2023;Монолитно-кирпичный;Черновая;2,7 м;Комфорт;Подземная, гостевая;10;10;Застройщик АРСЕНАЛ
ЖК «Мёд»;Нижний Новгород;newobject;https://zhk-med-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Канавинский, Ленгородок, Украинская ул.;2026;Монолитно-кирпичный;Предчистовая;2,7 м;Комфорт;Гостевая;27;27;Застройщик СЗ Андор
ЖК «GloraX Premium Черниговская (Глоракс Премиум Черниговская)»;Нижний Новгород;newobject;https://zhk-glorax-premium-chernigovskaya-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, Центр, ул. Гаршина, 40;2025—2026;Монолитно-кирпичный;Предчистовая, чистовая;2,7 м;Премиум;Подземная;8;32;Застройщик GloraХ Нижний Новгород
ЖК «Янтарь»;Нижний Новгород;newobject;https://zhk-yantar-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Советский, Высоково, Гаражная ул.;2025;Монолитно-кирпичный;Предчистовая;2,7 м;Комфорт;Подземная;24;24;Застройщик СЗ Андор
ЖК «Клубный дом Резиденция»;Нижний Новгород;newobject;https://zhk-klubnyy-dom-rezidenciya-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Советский, Высоково, ул. Белинского;2025—2026;Монолитно-кирпичный;Предчистовая;2,71 м;Бизнес;Подземная, гостевая;7;13;Застройщик СЗ Юника НН
ЖК «Дом на Краснозвездной»;Нижний Новгород;newobject;https://zhk-dom-na-krasnozvezdnoy-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Советский, Тобольские казармы, Краснозвездная ул., 10А;2025;Монолитно-кирпичный;Без отделки;2,7 м;Бизнес;Подземная;9;9;Застройщик АГРОСПЕЦТЕХ
ЖК «Сормово Парк»;Нижний Новгород;newobject;https://zhk-sormovo-park-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Сормовский, Кооперативный поселок, ул. Коперника;2025;Монолитно-кирпичный;Предчистовая, черновая, чистовая;2,54 м;Комфорт;Гостевая;19;19;Застройщик АГРОСПЕЦТЕХ
ЖК «Бугров»;Нижний Новгород;newobject;https://zhk-bugrov-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Ленинский, Молитовка, Молитовская ул.;2025—2026;Монолитно-кирпичный;Предчистовая;2,7 м;Комфорт;Гостевая;24;24;Застройщик СЗ Андор
ЖК «Город времени»;Нижний Новгород;newobject;https://zhk-gorod-vremeni-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Московский, Спортивный, ул. 50-летия Победы;2021—2026;Монолитно-кирпичный, кирпичный;Предчистовая;от 2,7 м до 2,72 м;Комфорт;Гостевая;7;17;Застройщик СЗ Андор
ЖК «АТЛАНТ СИТИ»;Нижний Новгород;newobject;https://zhk-atlant-siti-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, ул. Владимира Высоцкого, 1;2021;Монолитный;Черновая;—;Премиум;Подземная, гостевая;21;21;Застройщик Атлант (Нижний Новгород)
ЖК «Лесной»;Нижний Новгород;newobject;https://zhk-lesnoy-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Канавинский, Сортировочный, ул. Лесной городок, 7Б;2025;Монолитно-кирпичный;Предчистовая, черновая, чистовая;2,75 м;Комфорт;Гостевая;8;8;Застройщик АГРОСПЕЦТЕХ
ЖК «Каскад на Автозаводе»;Нижний Новгород;newobject;https://zhk-kaskad-na-avtozavode-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Автозаводский, Автозавод, ул. Героя Юрия Смирнова;2024;Монолитно-кирпичный;Предчистовая, черновая;2,65 м;Комфорт;Отдельная многоуровневая, гостевая;25;25;Застройщик Каскад
ЖК «Смородина»;Нижний Новгород;newobject;https://zhk-smorodina-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Автозаводский, пос. Парышево, ул. Зеленхозовская;2025—2026;Монолитно-кирпичный;Без отделки, чистовая;2,7 м;Комфорт;Гостевая;4;4;Застройщик ННДК
ЖК «Каскад на Архангельской»;Нижний Новгород;newobject;https://zhk-kaskad-na-arhangelskoy-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Канавинский, Сортировочный, Архангельская ул., 18;2024;Кирпичный;Предчистовая;2,5 м;Эконом;Гостевая;14;14;Застройщик Каскад
ЖК «Дом на Тюленина»;Нижний Новгород;newobject;https://zhk-dom-na-tyulenina-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Автозаводский, Автозавод, ул. Сергея Тюленина, 20А;2022;Монолитно-кирпичный;Черновая;2,59 м;Комфорт;Гостевая;10;10;Застройщик АГРОСПЕЦТЕХ
ЖК «Заречье»;Нижний Новгород;newobject;https://zhk-zareche-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Ленинский, Молитовка, ул. Героя Советского Союза Сафронова;2020—2022;Монолитно-кирпичный;Без отделки;—;Комфорт;Отдельная многоуровневая, гостевая;10;17;Застройщик АГРОСПЕЦТЕХ
ЖК «Апартаменты на Родионова»;Нижний Новгород;newobject;https://zhk-apartamenty-na-rodionova-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, Подновье, ул. Родионова;2025;Монолитно-кирпичный;-1;2,7 м;Бизнес;Подземная, гостевая;6;6;Застройщик АГРОСПЕЦТЕХ
ЖК « Гранд-квартал «Бетанкур»»;Нижний Новгород;newobject;https://zhk-grand-kvartal-betankur-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Канавинский, Мещерское озеро, ул. Бетанкура;2025—2026;Монолитно-кирпичный;Без отделки, черновая;2,7 м;Бизнес;Подземная, гостевая;16;24;Застройщик ННДК
ЖК «Тетра»;Нижний Новгород;newobject;https://zhk-tetra-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Советский, проспект Гагарина, 1-я Оранжерейная ул.;2023—2026;Монолитно-кирпичный;Чистовая;2,62 м;Комфорт;Подземная, гостевая;18;18;Застройщик ГК Разумные инвестиции
ЖК «Каскад на Менделеева»;Нижний Новгород;newobject;https://zhk-kaskad-na-mendeleeva-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Канавинский, Ленгородок, ул. Менделеева;2022—2027;Монолитно-кирпичный;Предчистовая;от 2,5 м до 2,6 м;Бизнес;Подземная, гостевая;19;19;Застройщик Каскад
ЖК «Вега»;Нижний Новгород;newobject;https://zhk-vega-nn-ul-derzhaeva-i.cian.ru;Нижегородская область, Нижний Новгород, Автозаводский, Северный, ул. Дружаева;2025;Монолитно-кирпичный;Чистовая;2,62 м;Комфорт;Гостевая;15;15;Застройщик ГК Разумные инвестиции
ЖК «Горизонты Нижнего»;Нижний Новгород;newobject;https://zhk-gorizonty-nizhnego-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, ул. Родионова;2025;Монолитно-кирпичный;-1;2,7 м;Комфорт;Подземная, гостевая;20;24;Застройщик ГК Разумные инвестиции
ЖК «Маяковский парк»;Нижний Новгород;newobject;https://zhk-mayakovskiy-park-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Ленинский, Молитовка, Арктический пер.;2021—2025;Монолитно-кирпичный;Чистовая;2,65 м;Комфорт;Подземная, гостевая;10;17;Застройщик ГК Разумные инвестиции
ЖК «Discovery (Дискавери)»;Нижний Новгород;newobject;https://zhk-discovery-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Канавинский, 15-й квартал, Якорная ул.;2025;Монолитно-кирпичный;Предчистовая;2,62 м;Комфорт;Подземная, гостевая;21;21;Застройщик Держава
ЖК «Дом с террасами»;Нижний Новгород;newobject;https://zhk-dom-s-terrasami-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, Центр, ул. Максима Горького;2016—2026;Монолитно-кирпичный, кирпичный;Без отделки;2,85 м;Бизнес;Гостевая;6;18;Застройщик Ойкумена
ЖК «ЧКАLOV (Чкалов)»;Нижний Новгород;newobject;https://zhk-chkalov-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Автозаводский, Соцгород, Красноуральская ул.;2024—2027;Монолитно-кирпичный, кирпичный;Чистовая;от 2,6 м до 2,8 м;Комфорт;Гостевая;5;18;Застройщик ГК Сокольники
ЖК «Гермес»;Нижний Новгород;newobject;https://zhk-germes-nn-i.cian.ru;Нижегородская область, Нижний Новгород, Нижегородский, Центр, Октябрьская ул.;2025;Монолитно-кирпичный;Без отделки;2,95 м;Премиум;Подземная, гостевая;6;6;Застройщик ГК Разумные инвестиции
